,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
NORTHERN CAPE,UPINGTON,UPINGTON,13 DU TOIT STREET 8801,KALAHARI MEDICROSS KALAHARI CATARACT AND EYE CENTRE,77,CLINICS - DAY SURGERY,0693723,0543323989
NORTHERN CAPE,UPINGTON,UPINGTON,CNR 4TH AVENUE & DU TOIT STREET 8801,MEDICLINIC UPINGTON,58,HOSPITALS - PRIVATE,5808804,0543388900
NORTHERN CAPE,WARRENTON,JAN KEMPDORP,13 CHURCH STREET 8550,HUIS ANDALUSIA,49,SUB ACUTE FACILITIES,0651176,0534560284
WESTERN CAPE,BELLVILLE,LOEVENSTEIN,TIJGER CLINIC 267 UYS KRIGE STREET 7530,TIJGER CLINIC,55,MENTAL HEALTH INSTITUTIONS,0062251,0219137142
WESTERN CAPE,BELLVILLE,TYGER VALLEY,TYGER VALLEY HEALTH CENTRE 43 OLD OAK ROAD 7530,INTERCARE SUB-ACUTE HOSPITAL TYGER VALLEY (PTY) LTD,49,SUB ACUTE FACILITIES,0267791,0219439800
WESTERN CAPE,BLOUBERGRANT,WEST BEACH,WESTPORT SQUARE SANDOWN ROAD 7441,WEST BEACH CLINIC,55,MENTAL HEALTH INSTITUTIONS,0651109,0210010560
WESTERN CAPE,BLOUBERGSTRAND,THE RIDGE,7137 WESTPORT SQUARE SANDOWN ROAD 7441,SPESCARE BLAAUWBERG,49,SUB ACUTE FACILITIES,0879371,0213003039
WESTERN CAPE,BRACKENFELL,VREDEKLOOF HEIGHTS,ERF 27 2 KOORSBOOM CRESCENT 7560,CAPE GATE NEURO CLINIC,55,MENTAL HEALTH INSTITUTIONS,0615838,0219822726
WESTERN CAPE,CAPE TOWN,BELLVILLE,7 BROADWAY STREET 7530,MEDICLINIC LOUIS LEIPOLDT,58,HOSPITALS - PRIVATE,5806860,0219576069
WESTERN CAPE,CAPE TOWN,BELLVILLE,CNR VOORTREKKER ROAD & AJ WEST STREET 7530,MELOMED BELLVILLE HOSPITAL,58,HOSPITALS - PRIVATE,5802881,0219488131
WESTERN CAPE,CAPE TOWN,BRACKENFELL,CNR OKAVANGO ROAD & TANNER STREET 7560,MEDICLINIC -CAPE GATE,58,HOSPITALS - PRIVATE,0366714,0219835600
WESTERN CAPE,CAPE TOWN,BRACKENFELL,CNR OKAVANGO ROAD & TANNER STREET 7560,MEDICLINIC CAPE GATE DAY CLINIC,77,CLINICS - DAY SURGERY,0908363,0219836000
WESTERN CAPE,CAPE TOWN,CAPE TOWN,"MERIENDALE TERRACE SPORT PIENAAR ROAD, NEWLANDS 7700",LIFE SPORT SCIENCE,77,CLINICS - DAY SURGERY,0331570,0215065103
WESTERN CAPE,CAPE TOWN,CLAREMONT,WILDERNESS ROAD 7708,KINGSBURY HOSPITAL,58,HOSPITALS - PRIVATE,5808480,0216803700
WESTERN CAPE,CAPE TOWN,CLAREMONT,148 IMAM HARON ROAD 7708,MELOMED PRIVATE CLINIC (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0556866,0216830540
WESTERN CAPE,CAPE TOWN,CLAREMONT,LIFE KINGSBURY MEDICAL SUITES WILDERNESS ROAD 7708,PENINSULA EYE HOSPITAL,57,HOSPITALS - PRIVATE,0664227,0216704316
WESTERN CAPE,CAPE TOWN,DURBANVILLE,3 SOMERSET STREET 7550,ADVANCED DURBANVILLE SURGICAL CENTRE,77,CLINICS - DAY SURGERY,0596884,0152915221
WESTERN CAPE,CAPE TOWN,DURBANVILLE,UNIT 11B MEDI HOUSE WELLINGTON ROAD 7550,DURBANVILLE SLEEP LABORATORY,49,SUB ACUTE FACILITIES,0371572,0215512262
WESTERN CAPE,CAPE TOWN,DURBANVILLE,45 WELLINGTON ROAD 7550,MEDICLINIC DURBANVILLE,58,HOSPITALS - PRIVATE,5808766,0219802327
WESTERN CAPE,CAPE TOWN,DURBANVILLE,45 WELLINGTON ROAD 7550,MEDICLINIC DURBANVILLE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0592781,0219802100
WESTERN CAPE,CAPE TOWN,DURBANVILLE,THE NEWHAVEN DURBANVILLE 7 NEWHAVEN ROAD 7550,THE NEWHAVEN DURBANVILLE (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0675245,0210100813
WESTERN CAPE,CAPE TOWN,GATESVILLE,CLINIC STREET 7760,MELOMED GATESVILLE,58,HOSPITALS - PRIVATE,5808103,0216378100
WESTERN CAPE,CAPE TOWN,HOUT BAY,7 VALLEY ROAD 7806,HARMONY ADDICTION AND PSYCHIATRIC CLINIC,55,MENTAL HEALTH INSTITUTIONS,0548197,0217907779
WESTERN CAPE,CAPE TOWN,KENILWORTH,32 KENILWORTH ROAD 7708,AKESO KENILWORTH CLINIC,55,MENTAL HEALTH INSTITUTIONS,5500117,0870980452
WESTERN CAPE,CAPE TOWN,KENILWORTH,25 GIBSON ROAD 7708,SAFEHAVEN T/A IXANDE,47,DRUG AND ALCOHOL REHABILITATION,0681237,0217617348
WESTERN CAPE,CAPE TOWN,KENILWORTH,25 GIBSON ROAD 7708,SAFEHAVEN T/A IXANDE,55,MENTAL HEALTH INSTITUTIONS,0919640,0217617348
WESTERN CAPE,CAPE TOWN,KHAYELITSHA,SHOP 6 THEMBANI SHOPING CENTRE CNR LANSDOWNE & CAPITAL DRIVE 7784,THEMBANI THEATRES,77,CLINICS - DAY SURGERY,0624160,0213871166
WESTERN CAPE,CAPE TOWN,MILNERTON,MILPARK CENTRE CNR KOEBERG ROAD & IXIA STREET 7441,AKESO SPECIALISED PSYCHIATRIC CLINIC- MILNERTON,55,MENTAL HEALTH INSTITUTIONS,0607053,0870980101
WESTERN CAPE,CAPE TOWN,MILNERTON,CNR RACECOURSE & KOEBERG ROAD 7441,MEDICLINIC MILNERTON,58,HOSPITALS - PRIVATE,5808669,0215299000
WESTERN CAPE,CAPE TOWN,MITCHELLS PLAIN,TOWN CENTRE SYMPHONY WALK 7785,MITCHELLS PLAIN MEDICAL CENTRE,58,HOSPITALS - PRIVATE,5807948,0213923126
