,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
WESTERN CAPE,VREDENBURG,VREDENBURG,22 VOORTREKKER STREET 7380,WEST COAST PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808979,0227191030
WESTERN CAPE,VREDENDAL,VELDDRIF,4 CHURCH STREET 6850,GRACE MEDICAL CENTRE,49,SUB ACUTE FACILITIES,0995215,0879442000
WESTERN CAPE,WORCESTER,RIVER VIEW,TOEVLUG REHABILITATION CENTRE 40 NOBLE STREET 6850,TOEVLUG REHABILITATION CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0043583,0233421162
WESTERN CAPE,WORCESTER,WORCESTER,"C/O FAIRBARN AND RUSSEL STREETS, WORCESTER 6850",ADVANCED WORCESTER SURGICAL CLINIC,77,CLINICS - DAY SURGERY,0627798,0238800201
WESTERN CAPE,WORCESTER,WORCESTER,67 FAIRBAIRN STREET 6850,MEDICLINIC WORCESTER,58,HOSPITALS - PRIVATE,5808006,0233481500
WESTERN CAPE,WORCESTER,WORCESTER,C/O 2 DURBAN ROAD AND COMBRINK STREET 6850,NURTURE WORCESTER SUB-ACUTE,49,SUB ACUTE FACILITIES,1176315,0233020100
WESTERN CAPE,WORCESTER,WORCESTER,PINES CLINIC 42 CNR CHURCH & FAIRBAIRN STREET 6850,PINES CLINIC,55,MENTAL HEALTH INSTITUTIONS,0031976,0233423113
MPUMALANGA,EMALAHLENI,NKANGALA,27 PRINSBERG ROAD 1034,BREAKTHROUGH WELLNESS CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1136437,0608811312
MPUMALANGA,EMALAHLENI,WITBANK,CNR OR TAMBO ROAD & BEATTY AVENUE 1034,COSMOS HOSPITAL,58,HOSPITALS - PRIVATE,5807980,0136558006
MPUMALANGA,EMALAHLENI,WITBANK,1ST FLOOR HIGHVELD EYE HOSPITAL 4 LANA STREET 1034,HIGHVELD SUB-ACUTE SERVICES (PTY) LTD,49,SUB ACUTE FACILITIES,0538213,0136584084
MPUMALANGA,ERMELO,ERMELO,MEDICLINIC ERMELO 25 MEL MENTZ STREET 2351,MEDICLINIC ERMELO,58,HOSPITALS - PRIVATE,5808863,0219436000
MPUMALANGA,MIDDELBURG,MIDDELBURG,CNR OR TAMBO & JOUBERT STREET 1055,MIDDELBURG PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808243,0132838700
MPUMALANGA,NELSPRUIT,BARBERTON,12 PILGRIMS STREET 1300,BARBERTON RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1061836,0722540628
MPUMALANGA,NELSPRUIT,BARBERTON,CNR SHEBA ROAD & HAVELOCK STREET 1300,RH PHODICLINIC,57,HOSPITALS - PRIVATE,0765325,0100072171
MPUMALANGA,NELSPRUIT,NELSPRUIT,KIAAT RIDGE BOULEVARD 1201,AKESO CLINICS-NELSPRUIT (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0691429,0870980460
MPUMALANGA,NELSPRUIT,NELSPRUIT,ROOM G08 LOWVELD HOSPITAL 10 ROTHERY STREET 1201,LOWVELD HOSPITAL,57,HOSPITALS - PRIVATE,0463345,0137527576
MPUMALANGA,NELSPRUIT,NELSPRUIT,WEST ACRES 32 ORANGE STREET 1201,M-CARE NELSPRUIT,49,SUB ACUTE FACILITIES,0109630,0137411530
MPUMALANGA,NELSPRUIT,NELSPRUIT,THE REST ROAD 1201,NELSPRUIT BATELEUR ADULT LIFESTYLE ESTATE,49,SUB ACUTE FACILITIES,1017349,0137445540
MPUMALANGA,NELSPRUIT,SCHAGEN,258 BLYFSTANBOSCHSPRUIT HOUTBOSLOOP 1207,HEALING WINGS SOUTH AFRICA,47,DRUG AND ALCOHOL REHABILITATION,0380091,0767812720
MPUMALANGA,NELSPRUIT,SONHEUWEL,1 LOUISE STREET 1201,MEDICLINIC NELSPRUIT,58,HOSPITALS - PRIVATE,5808340,0137590742
MPUMALANGA,NELSPRUIT,SONHEUWEL,1 LOUISE STREET 1201,MEDICLINIC NELSPRUIT DAY CLINIC,77,CLINICS - DAY SURGERY,0867446,0137590501
MPUMALANGA,NELSPRUIT,WHITE RIVER,160 JATINGA ROAD 1240,WHITE RIVER MANOR,47,DRUG AND ALCOHOL REHABILITATION,0632074,0135901786
MPUMALANGA,PIET RETIEF,PIET RETIEF,6 MANSOOR ROAD 2380,RH PIET RETIEF PRIVATE HOSPITAL (PTY) LTD,57,HOSPITALS - PRIVATE,0812218,0100037630
MPUMALANGA,SABIE,SABIE,3 RAAMSAAG STREET 1260,PACE RECOVERY CENTRE (PTY)LTD,47,DRUG AND ALCOHOL REHABILITATION,0721476,0812467452
MPUMALANGA,SECUNDA,TRICHARDT,MEDICLINIC HIGHVELD BARNEY MOLOKWANE STREET 2300,MEDICLINIC HIGHVELD,58,HOSPITALS - PRIVATE,5807956,0176388223
MPUMALANGA,STANDERTON,STANDERTON,11 PRINCESS STREET 2430,MAR-PEH MEDICARE,49,SUB ACUTE FACILITIES,0084646,0177126219
MPUMALANGA,WITBANK,WITBANK,4 LANA STREET 1035,HIGHVELD EYE HOSPITAL,77,CLINICS - DAY SURGERY,0516643,0136584040
LIMPOPO,ELLISRAS,ONVERWACHT,CNR DOUWATER ROAD & JOE SLOVO LANE 0557,MEDICLINC LEPHALALE,57,HOSPITALS - PRIVATE,5708125,0147682380
LIMPOPO,LOUIS TRICHARDT,LOUIS TRICHARDT,83 GROBLER STREET 0920,QUALITY CARE PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0492094,0155165439
LIMPOPO,MAKHADO,LOUIS TRICHARDT,47 JOUBERT STREET 0920,CRESTCARE ZOUTPANSBERG MEDICAL CENTRE,57,HOSPITALS - PRIVATE,0253871,0155160720
LIMPOPO,POLOKWANE,LEBOWAKGOMO,"NO 2760, ZONE B 0699",HLABIRWA REHABILITATION CLINIC,47,DRUG AND ALCOHOL REHABILITATION,1152793,0645190653
LIMPOPO,POLOKWANE,LEBOWAKGOMO,JANE FURSE ROAD 0737,MEDLEB,57,HOSPITALS - PRIVATE,0751065,0870872886
LIMPOPO,POLOKWANE,POLOKWANE,70 PLEIN STREET 0699,MEDICLINIC  LIMPOPO DAY CLINIC,77,CLINICS - DAY SURGERY,0603120,0152309400
LIMPOPO,POLOKWANE,POLOKWANE,53 PLEIN STREET 0699,MEDICLINIC LIMPOPO,58,HOSPITALS - PRIVATE,5808189,0152903600
LIMPOPO,POLOKWANE,POLOKWANE,CNR COLLEGE AVENUE & DORP STREET 0699,THEUNIS FICHARDT HOSPITUIM,49,SUB ACUTE FACILITIES,0957402,0152971268
LIMPOPO,POLOKWANE,POLOKWANE,67 BURGER STREET 0699,UNICARE ANIX,49,SUB ACUTE FACILITIES,0269026,0152952192
LIMPOPO,THABAZIMBI,THABAZIMBI,173 VAN DER BIJL STREET 0387,MEDICLINIC THABAZIMBI,57,HOSPITALS - PRIVATE,5709202,0147772097
LIMPOPO,THOHOYANDOU,THOHOYANDOU,R524 THOHOYANDOU-J 0950,MVELEDZO DAY HOSPITAL,77,CLINICS - DAY SURGERY,1171593,0150079003
LIMPOPO,TZANEEN,TZANEEN,R 71 WOLKBERG AVENUE 0850,MEDICLINIC TZANEEN,57,HOSPITALS - PRIVATE,0132454,0153066850
KWAZULU-NATAL,BEREA,BULWER,148 MAZISI KUNENE ROAD 4001,ENTABENI HOSPITAL,58,HOSPITALS - PRIVATE,5801982,0312041300
KWAZULU-NATAL,BEREA,BULWER,148 MAZISI KUNENE ROAD 4001,ENTABENI REHABILITATION HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),0163163,0112199650
KWAZULU-NATAL,BEREA,BULWER,82 MAZISI KUNENE ROAD 4001,LIFE CARE - ST JOSEPHS HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,1056875,0312041470
KWAZULU-NATAL,CHATSWORTH,CROFTDENE,10 EQUALITY AVENUE 4092,CHATSWORTH CHESHIRE REHABILITATION CENTRE,49,SUB ACUTE FACILITIES,0392030,0314011661
KWAZULU-NATAL,DUNDEE,DUNDEE,58 ANNE STREET 3000,TALANA STEPDOWN FACILITY,49,SUB ACUTE FACILITIES,0216755,0342182092
KWAZULU-NATAL,DURBAN,BEREA,124 JB MARKS ROAD 4083,GLENMARKS CLINIC,55,MENTAL HEALTH INSTITUTIONS,1146378,0318247192
KWAZULU-NATAL,DURBAN,BEREA,185 VAUSE ROAD 4001,SANCA DURBAN ALCOHOL & DRUG CENTRES,47,DRUG AND ALCOHOL REHABILITATION,0101125,0313032202
KWAZULU-NATAL,DURBAN,CHATSWORTH,80 WOODHURST DRIVE 4092,CHATSMED GARDEN HOSPITAL,58,HOSPITALS - PRIVATE,5808219,0314598000
KWAZULU-NATAL,DURBAN,DURBAN,83 ISMAIL C MEER STREET 4001,CITY HOSPITAL LTD,58,HOSPITALS - PRIVATE,5808367,0313143253
KWAZULU-NATAL,DURBAN,DURBAN,501 DURDOC CENTRE 460 ANTON LAMBEDE STREET 4000,DURDOC PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,1126407,0313275100
KWAZULU-NATAL,DURBAN,DURBAN,9TH FLOOR DURDOC CENTER 460 ANTON LEMBEDE STREET 4001,DURDOC SANCTUARY HOSPITAL,49,SUB ACUTE FACILITIES,0763691,0310010147
KWAZULU-NATAL,DURBAN,DURBAN,5 RIVERHORSE PLACE RIVERHORSE VALLEY 4001,ITHEKU WELLNESS HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,1140752,0827860612
KWAZULU-NATAL,DURBAN,DURBAN,RIVERHORSE VALLEY BUSINESS CENTRE 11 QUEEN NANDI DRIVE 4001,LENMED ETHEKWINI HOSPITAL AND HEART CENTRE (PTY) LTD,58,HOSPITALS - PRIVATE,0305251,0315812400
KWAZULU-NATAL,DURBAN,DURBAN,460 ANTON LEMBEDE STREET 4001,SANCTUARY HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,1036394,0313011188
KWAZULU-NATAL,DURBAN,DURBAN,103 BLACKBURN ROAD PARK HILL 4051,"ZENZAI TREATMENT, RECOVERY AND WELLNESS CENTRE",47,DRUG AND ALCOHOL REHABILITATION,1109685,0844887861
KWAZULU-NATAL,DURBAN,GLENWOOD,1 EXMOUTH AVENUE 4001,ASSISTED RECOVERY AFRICA (PTY)LTD,47,DRUG AND ALCOHOL REHABILITATION,0481572,0312615515
KWAZULU-NATAL,DURBAN,GLENWOOD,370 CLARK ROAD 4001,RIBUMED GLENWOOD DAY HOSPITAL,77,CLINICS - DAY SURGERY,0833193,0319137021
KWAZULU-NATAL,DURBAN,GREYVILLE,3 ASCOT STREET 4001,CITY HOSPITAL LTD T/A ASCOT PARK HOSPITAL,57,HOSPITALS - PRIVATE,0272914,0313143248
KWAZULU-NATAL,DURBAN,MEREBANK,23-25 PUNJAB CIRCLE 4052,SERENITY ADDICTION TREATMENT UNIT,47,DRUG AND ALCOHOL REHABILITATION,0056634,0314627026
KWAZULU-NATAL,DURBAN,MUSGRAVE,97 WINDMILL ROAD 4001,CHOOSELIFE SPECIALIST RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0771422,0514101666
KWAZULU-NATAL,DURBAN,OVERPORT,1ST FLOOR 38 SOUTH ROAD 4091,DURBAN EYE HOSPITAL,77,CLINICS - DAY SURGERY,0683019,0312071538
KWAZULU-NATAL,DURBAN,OVERPORT,2ND FLOOR 38 SOUTH ROAD 4091,HUMANA HEALTHCARE,49,SUB ACUTE FACILITIES,0683132,0314927000
KWAZULU-NATAL,DURBAN,PARLOCK,19 CARDEN CRESCENT 4037,SUN SHIV 108 (PTY) LTD T/A ZENZAI WELLNESS,55,MENTAL HEALTH INSTITUTIONS,1262807,0312059585
KWAZULU-NATAL,DURBAN,PHOENIX,163-179 REDBERRY ROAD 4068,MOUNT EDGECOMBE HOSPITAL,57,HOSPITALS - PRIVATE,5708664,0315374000
KWAZULU-NATAL,DURBAN,SYDENHAM,482 RANDLES ROAD 4091,LENMED HEALTH SHIFA HOSPITAL,58,HOSPITALS - PRIVATE,5808464,0312405000
KWAZULU-NATAL,DURBAN NORTH,MOUNT MORIAH,32 - 34 COLUMBINE PLACE 4051,ALLIANCE CARE - UMHLANGA,49,SUB ACUTE FACILITIES,0655384,0315693808
KWAZULU-NATAL,HAMMARSDALE,INCHANGA,2 INCHANGA DRIVE 3670,HEALING HILLS HOSPITAL (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0486779,0317834272
KWAZULU-NATAL,HILLCREST,ASSAGAY,471 KASSIER ROAD 3610,HILLCREST PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0426563,0125293111
KWAZULU-NATAL,HOWICK,HOWICK,107 MAIN ROAD 3290,LENMED HOWICK PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0934550,0333302456
KWAZULU-NATAL,HOWICK,HOWICK,52 FRASER STREET 3290,OATLANDS CARE CENTRE,49,SUB ACUTE FACILITIES,0447773,0333302229
KWAZULU-NATAL,ISIPINGO,ISIPINGO RAIL,MEDICAL TOWERS 162 PHILA NDWANDWE ROAD 4133,ISIPINGO HOSPITAL,57,HOSPITALS - PRIVATE,1126385,0319137000
KWAZULU-NATAL,KOKSTAD,KOKSTAD,51 BARKER STREET 4700,KOKSTAD MEDICAL TRUST T/A PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0174602,0397978340
KWAZULU-NATAL,KWAZULU/NATAL,GREYTOWN,KRANSKOP ROAD 3250,THE AGAPE HOUSE TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0836958,0334172227
KWAZULU-NATAL,LADYSMITH,HOSPITAALPARK,12-16 MALCOM ROAD 3370,LADYSMITH SUB-ACUTE HOSPITAL / ESSEN MEDICAL CENTRE,49,SUB ACUTE FACILITIES,0673064,0366310671
KWAZULU-NATAL,LADYSMITH,LADYSMITH,27 LAMBTON ROAD 3370,LADYSMITH DAY HOSPITAL,77,CLINICS - DAY SURGERY,0830518,0366354412
KWAZULU-NATAL,LADYSMITH,LADYSMITH,1 CONVENT ROAD 3370,LENMED LA VERNA,58,HOSPITALS - PRIVATE,5808235,0366310065
KWAZULU-NATAL,MARGATE,MARGATE,24 WARTSKI DRIVE 4275,MARGATE PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808529,0393173201
KWAZULU-NATAL,MOOI RIVER,MOOI RIVER,"D487 HIDCOTE, MOOI RIVER 3300",THE CEDARS TREATMENT FACILITIES MIDLANDS,47,DRUG AND ALCOHOL REHABILITATION,1061119,0332632733
KWAZULU-NATAL,NEWCASTLE,LENNOXTON,39 CERISE STREET 2940,COR DETOX AND TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0698369,0353171253
KWAZULU-NATAL,NEWCASTLE,NEWCASTLE,9 HILLDROP ROAD 2940,HILLDROP HEALTHCARE CENTRE,49,SUB ACUTE FACILITIES,1057766,0796909387
KWAZULU-NATAL,NEWCASTLE,NEWCASTLE,CNR HOSPITAL & BIRD STREET 2940,MEDICLINIC NEWCASTLE,58,HOSPITALS - PRIVATE,5808871,0343170118
KWAZULU-NATAL,NEWCASTLE,NEWCASTLE,CNR HOSPITAL & BIRD STREET 2940,MEDICLINIC NEWCASTLE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0767301,0343170100
KWAZULU-NATAL,PIETERMARITZBURG,HILTON,CNR HILTON AVENUE & MONZALI DRIVE 3201,HILTON LIFE PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0604429,0112199000
KWAZULU-NATAL,PIETERMARITZBURG,MASONS MILL,100 ARCHIE GUMEDE DRIVE 3201,EDEN GARDENS PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0765228,0338154600
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,90 PAYN STREET 3201,MEDICLINIC PIETERMARITZBURG,58,HOSPITALS - PRIVATE,5808073,0338453700
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,90 PAYN STREET 3201,MEDICLINIC PIETERMARITZBURG DAY HOSPITAL,77,CLINICS - DAY SURGERY,1217496,0861777002
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,5 A ALAN PATON AVENUE 3201,PIETERMARITZBURG EYE HOSPITAL,77,CLINICS - DAY SURGERY,0728586,0338122020
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,ERF 9917 MIDLANDS REHABILITATION HOSPITAL 301 BURGER STREET 3201,ROYAL REHABILITATION HOSPITAL (PTY)LTD T/A ROYAL HOSPITAL,49,SUB ACUTE FACILITIES,0668303,0338151600
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,ERF 9917 MIDLANDS REHABILITATION HOSPITAL 301 BURGER STREET 3201,ROYAL REHABILITATION HOSPITAL PTY LTD T/A ROYAL HOSPITAL,59,PRIVATE REHAB HOSPITAL (ACUTE),0795313,0338151600
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,64 CRAIGIE DRIVE 3201,ST. CATHERINE`S LIFE PATH HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,1076795,0331500100
KWAZULU-NATAL,PIETERMARITZBURG,PIETERMARITZBURG,61 HOWICK ROAD 3200,WEMBLEY HOUSE,49,SUB ACUTE FACILITIES,1047337,0333423191
KWAZULU-NATAL,PIETERMARITZBURG,SCOTTSVILLE,216 WOODHOUSE ROAD 3201,AKESO CLINICS - PIETERMARITZBURG,55,MENTAL HEALTH INSTITUTIONS,0412155,0333460065
KWAZULU-NATAL,PIETERMARITZBURG,SCOTTSVILLE,5 KENWYN AVENUE 3201,ST MARY'S STEP-DOWN,49,SUB ACUTE FACILITIES,0737941,0872552418
KWAZULU-NATAL,PINETOWN,HILLCREST,72 OLD MAIN ROAD 3610,HIGHWAY SUB ACUTE (PTY) LTD,49,SUB ACUTE FACILITIES,0683361,0314760997
KWAZULU-NATAL,PINETOWN,PINETOWN,102 CROMPTON STREET 3610,THE CROMPTON HOSPITAL,58,HOSPITALS - PRIVATE,5808596,0317373000
KWAZULU-NATAL,PORT SHEPSTONE,PORT SHEPSTONE,39-41 CIRCULAR DRIVE SUNWICH PORT 4240,ARLEENS CORPORATE WELLNESS,47,DRUG AND ALCOHOL REHABILITATION,0687758,0317086586
KWAZULU-NATAL,RICHARDS BAY,EMPANGENI,CNR BIYELA & UKULA STREET 3880,EMPANGENI GARDEN CLINIC (PTY) LTD,57,HOSPITALS - PRIVATE,5708494,0359028000
KWAZULU-NATAL,RICHARDS BAY,EMPANGENI,26 ADDISON STREET 3880,SENZELWISIHE REHABILITATION HOSPITAL,49,SUB ACUTE FACILITIES,0962465,0357725367
KWAZULU-NATAL,RICHARDS BAY,RICHARDS BAY,8TH FLOOR 5 LIRA LINK 3900,AKESO CLINIC RICHARDS BAY,55,MENTAL HEALTH INSTITUTIONS,1027409,0113010000
KWAZULU-NATAL,RICHARDS BAY,RICHARDS BAY,JOHN ROSS ECO JUNCTION CNR N2 & MR496 3900,MELOMED RICHARDS BAY PTY LTD,58,HOSPITALS - PRIVATE,0721263,0216990950
KWAZULU-NATAL,RICHARDS BAY,RICHARDS BAY,CENTRAL BUSINESS DISTRICT 1 LIRA LINK ROAD 3900,RICHARDS BAY MEDICAL INSTITUTE,49,SUB ACUTE FACILITIES,0529796,0357800240
KWAZULU-NATAL,RICHARDS BAY,RICHARDS BAY,CENTRAL BUSINESS DISTRICT 1 LIRA LINK ROAD 3900,RICHARDS BAY MEDICAL INSTITUTE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0776416,0357800240
KWAZULU-NATAL,RICHARDS BAY,RICHARDS BAY,6 KRUGER RAND ROAD 3900,THE BAY HOSPITAL,58,HOSPITALS - PRIVATE,5808472,0357806111
KWAZULU-NATAL,SCOTTBURGH,SCOTTBURGH,C/O AIRTH & ERSKINE ROAD 4180,HIBISCUS HOSPITAL SCOTTBURGH,49,SUB ACUTE FACILITIES,1044915,0394920510
KWAZULU-NATAL,SHELLY BEACH,SHELLY BEACH,LOT 1253 FLAMINGO ROAD 4265,SHELLY BEACH DAY CLINIC,77,CLINICS - DAY SURGERY,0380059,0393156430
KWAZULU-NATAL,SHELLY BEACH,SHELLY BEACH,LOT 2489 FLAMINGO ROAD 4265,SHELLY BEACH HOSPITAL,58,HOSPITALS - PRIVATE,0781886,0870877373
KWAZULU-NATAL,STANGER,STANGER,ERF 6023 THORNHILL FARM 4449,KDP HOSPITAL COMPANY (RF) (PTY) LTD T/A KWADUKUZA PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0727334,0328153000
KWAZULU-NATAL,TONGAAT,BALLITO,LOWER GROUND THE ODYSSEY BALLITO 1 SIMBITHI DRIVE 4399,RIBUMED BALLITO DAY HOSPITAL,77,CLINICS - DAY SURGERY,0987425,0313143010
KWAZULU-NATAL,TONGAAT,BALLITO,LOWER GROUND THE ODYSSEY BALLITO 1 SIMBITHI DRIVE 4399,RIBUMED BEHAVIOURAL CENTRE (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,1023411,0314927500
KWAZULU-NATAL,TONGAAT,DOLPHIN COAST,INGENUITY PARK 3 NANDI MTHEMBU DRIVE 4404,NURTURE ILEMBE WELLNESS CENTRE,59,PRIVATE REHAB HOSPITAL (ACUTE),0828556,0326480015
KWAZULU-NATAL,TONGAAT,TONGAAT,4 HIGH CRESCENT 4399,NORTH COAST CENTRE FOR ALCOHOLICS,47,DRUG AND ALCOHOL REHABILITATION,0956031,0315210258
KWAZULU-NATAL,TONGAAT,TONGAAT,35 HIGH CRESCENT 4399,VICTORIA HOSPITAL (PTY) LTD,57,HOSPITALS - PRIVATE,5708567,0329458200
KWAZULU-NATAL,UMHLANGA,UMHLANGA,325 UMHLANGA ROCKS DRIVE 4319,MONDIA UMHLANGA,55,MENTAL HEALTH INSTITUTIONS,1101471,0315848169
KWAZULU-NATAL,UMHLANGA RIDGE,UMHLANGA RIDGE,5TH FLOOR 19 THE HIGH STREET CNR BOULEVARD 4319,MEDSTONE MEDICAL CENTRE T/A UMHLANGA EYE INSTITUTE,77,CLINICS - DAY SURGERY,0654736,0315361800
KWAZULU-NATAL,UMHLANGA ROCKS,PRESTONDALE,16 CHESTNUT CRESCENT 4319,AKESO CLINICS UMHLANGA,55,MENTAL HEALTH INSTITUTIONS,0615935,0114470268
KWAZULU-NATAL,UMHLANGA ROCKS,UMHLANGA ROCKS,36-38 AURORA DRIVE 4319,GATEWAY PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0566225,0314921264
KWAZULU-NATAL,UMHLANGA ROCKS,UMHLANGA ROCKS,10A HERRWOOD DRIVE 4320,INHLE WELLNESS CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0775991,0114340280
KWAZULU-NATAL,UMKOMAAS,WIDENHAM,7 ST HELIER ROAD 4170,CHOOSELIFE SPECIALIST RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,1119842,0312012181
KWAZULU-NATAL,VRYHEID,VRYHEID,CNR EDWARD & UTRECHT STREET 3100,ABAQULUSI PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0808458,0349811000
KWAZULU-NATAL,WESTVILLE,WESTVILLE,WESTVILLE HOSPITAL 7 HARRY GWALA ROAD WESTVILLE 3630,WESTVILLE HOSPITAL,58,HOSPITALS - PRIVATE,5807832,0312041320
GAUTENG,ALBERTON,BRACKENDOWNS,22 DE WAAL STREET 1448,LIFE BRACKENVIEW HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,0791393,0100092600
GAUTENG,ALBERTON,NEW REDRUTH,15 CLINTON ROAD 1449,AKESO CLINIC - ALBERTON,55,MENTAL HEALTH INSTITUTIONS,0434655,0119072811
GAUTENG,ALBERTON,NEWMARKET,2ND FLOOR MEDIMIX 1 RIBOVILLE STREET NEWMARKET PARK (EXT 15) 1449,NEW MARKET SUB-ACUTE HOSPITAL,49,SUB ACUTE FACILITIES,1052780,0104960524
GAUTENG,BENONI,BENONI SOUTH,129-131 HOWARD AVENUE 1501,GLYNNVIEW PRIVATE PSYCHIATRIC HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,0422193,0117415000
GAUTENG,BENONI,BENONI SOUTH,33-35 HARRISON STREET 1501,GLYNNWOOD NURSING HOME,58,HOSPITALS - PRIVATE,5807743,0117415000
GAUTENG,BENONI,NORTHMEAD,NORTHMEAD MALL 1ST STREET 1501,CARE CURE RYNMED SUB-ACUTE/PHYSICAL REHABILITATION,49,SUB ACUTE FACILITIES,0115347,0119689006
GAUTENG,BENONI,RYNFIELD,2 CNR EWING & O'RIELLEY MERRY STREET 1501,ADDICTION RECOVERY CENTRE - ARC,47,DRUG AND ALCOHOL REHABILITATION,0748188,0132445021
GAUTENG,BENONI,RYNFIELD,CNR PRETORIA ROAD & PARKER STREET 1501,MOREHILL CLINIC (PTY) LTD,49,SUB ACUTE FACILITIES,0589519,0514101666
GAUTENG,BENONI,RYNVELD,81 PRETORIA ROAD 1501,CARE YOUTH REVIVAL SANCTUARY,47,DRUG AND ALCOHOL REHABILITATION,1132814,0721406081
GAUTENG,BOKSBURG,PLANTATION,17 NORTH STREET 1459,SANCA HORIZON,47,DRUG AND ALCOHOL REHABILITATION,0046035,0119175015
GAUTENG,BOKSBURG,RAVENSWOOD,35 OLIVIA ROAD 1459,HOUSE OF MERCY,47,DRUG AND ALCOHOL REHABILITATION,0045128,0118944050
GAUTENG,BRAKPAN,DALVIEW,11 HENDRIK POTGIETER ROAD 1541,DALVIEW CLINIC,58,HOSPITALS - PRIVATE,5808146,0117470747
GAUTENG,BRAMLEY,KELVIN,34 STEYN AVENUE 2090,ARCA JOHANNESBURG,47,DRUG AND ALCOHOL REHABILITATION,0613851,0116560705
GAUTENG,BRYANSTON,GLENFERNESS,438 CHATTAN ROAD 2191,EDEN RECOVERY AND REHABILITATION CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0428264,0125675358
GAUTENG,CARLETONVILLE,CARLETONVILLE,R500 ROAD 2499,THE FOUNTAIN PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,5708648,0187881000
GAUTENG,CENTURION,CENTURION,"SUITE 119 UNIT 4 LIFESTYLE MANAGEMENT PARK, 221 CLIFTON LANE 0157",CENTURION EYE HOSPITAL,77,CLINICS - DAY SURGERY,0236837,0126445100
GAUTENG,CENTURION,CENTURION,C/O NELLMAPIUS & JOHN VORSTER 0157,INTERCARE DAY HOSPITAL IRENE,77,CLINICS - DAY SURGERY,0492264,0129412600
GAUTENG,CENTURION,CENTURION,135 GERHARD STREET 0157,VISTA PRIVATE CLINIC,55,MENTAL HEALTH INSTITUTIONS,5500087,0126640222
GAUTENG,CULLINAN,CULLINAN,1 HOSPITAL ROAD 1000,CLINIX CULLINAN WELLNESS HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,0954756,0114291000
GAUTENG,DERDEPARK,KAMEELDRIF EAST,PLOT 79 BOSUIL AVENUE 0035,CLEARVIEW CLINIC (PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,0427942,0128191422
GAUTENG,DIEPKLOOF,DIEPKLOOF ZONE 6,23967 CHRIS HANI ROAD 1862,LESEDI CLINIC,58,HOSPITALS - PRIVATE,5807816,0119335000
GAUTENG,FLORIDA,FLORACLIFFE,LIFE FLORA CLINIC CNR CONSTANTIA BOULEVARD & WILLIAM NICOL DRIVE 1709,FLORA CLINIC,58,HOSPITALS - PRIVATE,5807883,0114707777
